location,year,total_energy_supply
POL,2002,4.68
POL,2003,4.57
POL,2004,4.75
POL,2005,4.87
POL,2006,4.85
POL,2007,5.01
POL,2008,5.69
POL,2009,6.66
POL,2010,7.25
POL,2011,7.87
POL,2012,8.83
POL,2013,8.77
POL,2014,9.14
POL,2015,9.59
PRT,1960,32.64
PRT,1961,30.68
PRT,1962,30.83
PRT,1963,29.3
PRT,1964,28.57
PRT,1965,27.47
PRT,1966,29.53
PRT,1967,27.64
PRT,1968,26.7
PRT,1969,25.26
PRT,1970,21.61
PRT,1971,19.64
PRT,1972,19.53
PRT,1973,18.4
PRT,1974,18.04
PRT,1975,15.53
PRT,1976,12.81
PRT,1977,19.04
PRT,1978,18.96
PRT,1979,18.0
PRT,1980,14.1
PRT,1981,11.82
PRT,1982,12.41
PRT,1983,13.65
PRT,1984,14.9
PRT,1985,16.83
PRT,1986,14.44
PRT,1987,14.8
PRT,1988,16.29
PRT,1989,15.14
PRT,1990,19.53
PRT,1991,19.36
PRT,1992,15.8
PRT,1993,17.95
PRT,1994,18.76
PRT,1995,16.43
PRT,1996,18.97
PRT,1997,17.79
PRT,1998,16.4
PRT,1999,13.68
PRT,2000,15.28
PRT,2001,16.18
PRT,2002,13.76
PRT,2003,16.89
PRT,2004,14.71
PRT,2005,13.13
PRT,2006,16.75
PRT,2007,17.69
PRT,2008,17.54
PRT,2009,19.65
PRT,2010,23.24
PRT,2011,22.49
